Subject ID,Recording ID,ROI,Extraction Method,Signal,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s28,vid_s28_T1.avi,bbox_forehead,POS,,34,9.79,11.92,-0.07,0.694,1.39,12.02,-22.16,24.94,90.26,90.03,88.86,88.06,1.39,2.69,7.93
s28,vid_s28_T1.avi,mesh_forehead,R,,34,14.82,19.34,-0.411,0.016,-10.01,16.79,-42.92,22.9,78.85,77.67,88.86,88.06,-10.01,-7.26,10.09
s28,vid_s28_T1.avi,mesh_forehead,G,,34,12.13,16.9,-0.447,0.008,-7.1,15.56,-37.61,23.4,81.76,82.94,88.86,88.06,-7.1,-2.29,8.01
s28,vid_s28_T1.avi,mesh_forehead,B,,34,15.36,19.46,-0.414,0.015,-9.82,17.06,-43.25,23.61,79.05,78.7,88.86,88.06,-9.82,-8.08,11.2
s28,vid_s28_T1.avi,mesh_forehead,GREY_W,,34,13.21,17.91,-0.444,0.008,-8.49,16.01,-39.86,22.88,80.37,80.8,88.86,88.06,-8.49,-4.31,9.22
s28,vid_s28_T1.avi,mesh_forehead,GREY_A,,34,14.0,18.53,-0.437,0.01,-9.19,16.33,-41.2,22.81,79.67,79.7,88.86,88.06,-9.19,-5.54,10.31
s28,vid_s28_T1.avi,mesh_forehead,PCA_1,,34,13.97,18.53,-0.435,0.01,-9.23,16.31,-41.2,22.75,79.64,79.73,88.86,88.06,-9.23,-5.39,10.38
s28,vid_s28_T1.avi,mesh_forehead,PCA_2,,34,14.73,17.6,-0.144,0.418,-9.98,14.71,-38.82,18.85,78.88,79.01,88.86,88.06,-9.98,-9.01,11.7
s28,vid_s28_T1.avi,mesh_forehead,PCA_3,,34,9.1,11.37,0.089,0.618,-1.44,11.45,-23.87,20.99,87.43,88.16,88.86,88.06,-1.44,-0.14,8.04
s28,vid_s28_T1.avi,mesh_forehead,ZCA_1,,34,9.53,11.79,0.053,0.765,-2.57,11.68,-25.47,20.32,86.29,87.02,88.86,88.06,-2.57,-0.61,8.74
s28,vid_s28_T1.avi,mesh_forehead,ZCA_2,,34,9.57,11.75,0.056,0.753,-0.89,11.9,-24.21,22.43,87.98,88.34,88.86,88.06,-0.89,0.74,9.66
s28,vid_s28_T1.avi,mesh_forehead,ZCA_3,,34,13.27,16.63,-0.262,0.135,-8.65,14.42,-36.92,19.62,80.22,80.55,88.86,88.06,-8.65,-8.36,10.64
s28,vid_s28_T1.avi,mesh_forehead,ICA_1,,34,9.67,12.38,0.018,0.921,-3.11,12.16,-26.94,20.72,85.75,86.52,88.86,88.06,-3.11,-0.85,8.28
s28,vid_s28_T1.avi,mesh_forehead,Best_ICA_2,,34,9.43,11.78,-0.0,0.999,-1.51,11.86,-24.76,21.74,87.36,88.03,88.86,88.06,-1.51,1.68,8.83
s28,vid_s28_T1.avi,mesh_forehead,ICA_3,,34,9.75,12.18,0.004,0.981,-2.68,12.06,-26.31,20.95,86.18,86.34,88.86,88.06,-2.68,-0.77,9.3
s28,vid_s28_T1.avi,mesh_forehead,CHROM,,34,8.83,10.66,0.26,0.137,-0.68,10.8,-21.84,20.49,88.19,88.22,88.86,88.06,-0.68,1.02,8.12
