Subject ID,Recording ID,ROI,Extraction Method,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s9,vid_s9_T2.avi,none,B,53,34.93,40.09,-0.188,0.178,-29.54,27.36,-83.17,24.1,59.89,57.0,89.42,92.57,-29.54,-36.16,36.16
s9,vid_s9_T2.avi,none,GREY_W,53,31.65,37.51,-0.011,0.940,-26.65,26.65,-78.88,25.58,62.77,57.0,89.42,92.57,-26.65,-32.02,32.02
s9,vid_s9_T2.avi,none,GREY_A,53,32.78,38.23,-0.025,0.858,-27.78,26.51,-79.73,24.17,61.64,57.0,89.42,92.57,-27.78,-32.99,32.99
s9,vid_s9_T2.avi,none,PCA_1,53,33.07,38.53,-0.048,0.732,-28.06,26.65,-80.29,24.17,61.36,57.0,89.42,92.57,-28.06,-32.99,32.99
s9,vid_s9_T2.avi,none,PCA_2,53,33.11,38.79,-0.072,0.607,-26.37,28.72,-82.66,29.93,63.06,60.0,89.42,92.57,-26.37,-29.02,30.23
s9,vid_s9_T2.avi,none,PCA_3,53,32.0,37.49,-0.057,0.686,-26.14,27.13,-79.3,27.02,63.28,63.0,89.42,92.57,-26.14,-33.58,33.58
s9,vid_s9_T2.avi,none,ZCA_1,53,31.87,37.25,0.062,0.658,-27.1,25.8,-77.67,23.47,62.32,60.0,89.42,92.57,-27.1,-31.49,31.49
s9,vid_s9_T2.avi,none,ZCA_2,53,31.81,38.45,0.006,0.965,-28.29,26.28,-79.8,23.22,61.13,60.0,89.42,92.57,-28.29,-32.99,32.99
s9,vid_s9_T2.avi,none,ZCA_3,53,36.06,40.89,-0.183,0.189,-31.57,26.23,-82.98,19.83,57.85,57.0,89.42,92.57,-31.57,-36.16,36.16
s9,vid_s9_T2.avi,none,ICA_1,53,35.69,40.42,-0.215,0.122,-29.71,27.68,-83.96,24.55,59.72,60.0,89.42,92.57,-29.71,-36.23,36.23
s9,vid_s9_T2.avi,none,ICA_2,53,33.27,38.34,0.072,0.608,-28.8,25.55,-78.87,21.27,60.62,57.0,89.42,92.57,-28.8,-36.58,36.58
s9,vid_s9_T2.avi,none,ICA_3,53,31.63,38.4,0.018,0.898,-26.59,27.97,-81.41,28.23,62.83,60.0,89.42,92.57,-26.59,-34.47,35.57
