subject,recording,video,roi,mae,rmse,r,bias,sd,mean_gt,mean_rppg,mean_pair,diff,failure
2hpu,2hpu_Counting2,2hpu|2hpu_Counting2,poly,4.3,4.97,0.451,2.54,4.44,95.63,98.17,96.9,-2.5400000000000063,0
2hpu,2hpu_Counting3,2hpu|2hpu_Counting3,poly,8.11,9.03,0.689,-8.11,4.11,102.31,94.2,98.255,8.11,0
2hpu,2hpu_Math,2hpu|2hpu_Math,poly,10.87,12.7,-0.579,-10.49,7.42,105.22,94.73,99.975,10.489999999999995,1
2hpu,2hpu_Reading,2hpu|2hpu_Reading,poly,4.23,5.35,-0.545,0.63,5.51,93.99,94.62,94.305,-0.6300000000000097,0
2hpu,2hpu_Relax,2hpu|2hpu_Relax,poly,7.95,8.37,0.74,7.95,2.64,69.17,77.11,73.14,-7.939999999999998,0
2hpu,2hpu_Speaking,2hpu|2hpu_Speaking,poly,13.83,14.94,-0.926,-11.75,9.58,96.23,84.48,90.355,11.75,1
2hpu,2hpu_Stroop,2hpu|2hpu_Stroop,poly,2.71,3.43,0.918,-2.71,2.19,84.21,81.5,82.85499999999999,2.7099999999999937,0
2hpu,2hpu_Video1,2hpu|2hpu_Video1,poly,7.35,8.04,-0.176,7.35,3.27,73.03,80.38,76.705,-7.349999999999994,0
2hpu,2hpu_Video2,2hpu|2hpu_Video2,poly,4.52,5.36,0.046,4.52,2.91,72.93,77.45,75.19,-4.519999999999996,0
2z7d,2z7d_Baseline,2z7d|2z7d_Baseline,poly,9.74,13.07,0.631,-9.72,9.06,91.7,81.98,86.84,9.719999999999999,0
2z7d,2z7d_Breathing,2z7d|2z7d_Breathing,poly,4.31,5.12,0.478,-2.63,4.44,84.56,81.93,83.245,2.6299999999999955,0
2z7d,2z7d_Counting1,2z7d|2z7d_Counting1,poly,6.46,8.74,-0.351,-5.72,6.88,86.97,81.25,84.11,5.719999999999999,0
2z7d,2z7d_Counting2,2z7d|2z7d_Counting2,poly,3.21,3.84,-0.187,-1.65,3.61,86.82,85.17,85.995,1.6499999999999915,0
2z7d,2z7d_Counting3,2z7d|2z7d_Counting3,poly,5.29,5.67,0.932,3.51,4.62,89.32,92.83,91.07499999999999,-3.510000000000005,0
2z7d,2z7d_Math,2z7d|2z7d_Math,poly,3.21,3.72,0.651,2.43,2.93,88.98,91.4,90.19,-2.4200000000000017,0
2z7d,2z7d_Reading,2z7d|2z7d_Reading,poly,2.5,3.13,0.754,-2.13,2.38,87.31,85.17,86.24000000000001,2.1400000000000006,0
2z7d,2z7d_Relax,2z7d|2z7d_Relax,poly,4.48,5.56,-0.373,-1.12,5.5,78.79,77.67,78.23,1.1200000000000045,0
2z7d,2z7d_Speaking,2z7d|2z7d_Speaking,poly,17.99,18.99,-0.939,-17.99,6.32,91.72,73.73,82.725,17.989999999999995,1
2z7d,2z7d_Stroop,2z7d|2z7d_Stroop,poly,7.32,8.33,-0.673,1.51,8.5,88.22,89.73,88.975,-1.5100000000000051,0
2z7d,2z7d_Video1,2z7d|2z7d_Video1,poly,3.25,3.96,0.466,-2.46,3.14,87.93,85.48,86.70500000000001,2.450000000000003,0
2z7d,2z7d_Video2,2z7d|2z7d_Video2,poly,2.83,3.84,0.133,-0.2,3.89,84.4,84.2,84.30000000000001,0.20000000000000284,0
45lx,45lx_Baseline,45lx|45lx_Baseline,poly,19.57,20.83,-0.89,19.57,7.43,54.27,73.83,64.05,-19.559999999999995,1
45lx,45lx_Breathing,45lx|45lx_Breathing,poly,25.89,26.26,0.031,25.89,4.43,50.54,76.43,63.485,-25.890000000000008,1
45lx,45lx_Counting1,45lx|45lx_Counting1,poly,21.75,21.84,0.94,21.75,2.15,57.44,79.19,68.315,-21.75,1
45lx,45lx_Counting2,45lx|45lx_Counting2,poly,23.61,23.99,0.982,23.61,4.38,51.51,75.12,63.315,-23.610000000000007,1
45lx,45lx_Counting3,45lx|45lx_Counting3,poly,16.39,17.67,0.838,16.39,6.88,54.69,71.08,62.885,-16.39,1
45lx,45lx_Math,45lx|45lx_Math,poly,18.36,18.74,-0.448,18.36,3.9,54.52,72.88,63.7,-18.359999999999992,1
45lx,45lx_Reading,45lx|45lx_Reading,poly,1.92,2.11,0.931,0.42,2.15,58.59,59.01,58.8,-0.4199999999999946,0
45lx,45lx_Relax,45lx|45lx_Relax,poly,26.69,27.12,-0.159,26.69,4.89,50.43,77.12,63.775000000000006,-26.690000000000005,1
45lx,45lx_Speaking,45lx|45lx_Speaking,poly,11.94,13.98,-0.97,11.94,7.55,55.33,67.26,61.295,-11.930000000000007,1
45lx,45lx_Stroop,45lx|45lx_Stroop,poly,2.78,3.36,-0.521,2.78,1.98,60.57,63.34,61.955,-2.770000000000003,0
45lx,45lx_Video1,45lx|45lx_Video1,poly,31.09,31.25,0.633,31.09,3.17,47.51,78.6,63.05499999999999,-31.089999999999996,1
45lx,45lx_Video2,45lx|45lx_Video2,poly,23.45,25.9,-0.6,23.45,11.16,49.22,72.67,60.945,-23.450000000000003,1
4e8r,4e8r_Baseline,4e8r|4e8r_Baseline,poly,4.67,5.69,-0.469,0.95,5.82,80.95,81.91,81.43,-0.9599999999999937,0
4e8r,4e8r_Breathing,4e8r|4e8r_Breathing,poly,6.18,7.42,-0.279,1.29,7.38,74.78,76.07,75.425,-1.289999999999992,0
