Technique,Method,ROI,MAE (bpm),r,p,n
HILBERT,POS,Full frame (baseline),5.55,-0.04,0.753,54
HILBERT,R,Manual crop ROI,8.4,-0.22,0.117,54
HILBERT,G,Manual crop ROI,5.11,0.25,0.067,54
HILBERT,B,Manual crop ROI,8.22,-0.2,0.141,54
HILBERT,GREY Weight,Manual crop ROI,8.59,0.02,0.891,54
HILBERT,GREY Avg,Manual crop ROI,10.11,-0.26,0.060,54
HILBERT,PCA,Manual crop ROI,3.7,-0.04,0.792,54
HILBERT,ZCA,Manual crop ROI,4.06,-0.14,0.317,54
HILBERT,ICA,Manual crop ROI,4.46,0.3,0.026,54
HILBERT,CHROM,Manual crop ROI,5.74,-0.06,0.685,54
HILBERT,POS,Manual crop ROI,5.93,-0.1,0.457,54
HILBERT,R,Face tracking (BlazeFace),12.18,0.05,0.716,54
HILBERT,G,Face tracking (BlazeFace),11.76,0.19,0.165,54
HILBERT,B,Face tracking (BlazeFace),10.47,0.06,0.654,54
HILBERT,GREY Weight,Face tracking (BlazeFace),14.08,-0.13,0.353,54
HILBERT,GREY Avg,Face tracking (BlazeFace),11.83,-0.12,0.391,54
HILBERT,PCA,Face tracking (BlazeFace),3.3,0.56,<0.001,54
HILBERT,ZCA,Face tracking (BlazeFace),5.13,-0.03,0.841,54
HILBERT,ICA,Face tracking (BlazeFace),4.75,0.04,0.789,54
HILBERT,CHROM,Face tracking (BlazeFace),6.04,-0.17,0.232,54
HILBERT,POS,Face tracking (BlazeFace),5.69,-0.05,0.709,54
HILBERT,R,Face tracking (BlazeFace forehead),12.27,0.49,<0.001,54
HILBERT,G,Face tracking (BlazeFace forehead),15.74,0.34,0.011,54
HILBERT,B,Face tracking (BlazeFace forehead),11.25,0.37,0.006,54
HILBERT,GREY Weight,Face tracking (BlazeFace forehead),19.67,0.47,<0.001,54
HILBERT,GREY Avg,Face tracking (BlazeFace forehead),17.66,0.51,<0.001,54
HILBERT,PCA,Face tracking (BlazeFace forehead),5.25,-0.03,0.853,54
HILBERT,ZCA,Face tracking (BlazeFace forehead),3.77,0.3,0.025,54
HILBERT,ICA,Face tracking (BlazeFace forehead),2.73,0.47,<0.001,54
HILBERT,CHROM,Face tracking (BlazeFace forehead),5.57,-0.18,0.204,54
